Código,Nome,Preço
PIE-01,Piercing Cartilagem,49,9
PIE-02,Piercing Helix,49,9
PIE-03,Piercing Fake 4 Fileiras de Zircônia Dourado,49,9
PIE-04,Piercing Fake Bolinhas,49,9
PIE-05,Piercing Fake 4 Listras,49,9
PIE-06,Piercing Fake 4 Fileiras de Zircônia Prata,49,9
