cod,nome,categoria,preco,estoque,ativo
BRA-28,Bracelete Placa Verde Dourado,Braceletes,,1,1
BRA-29,Bracelete Torcido Ondulado Dourado,Braceletes,,1,1
BRA-30,Bracelete Elos Grossos Dourado,Braceletes,,1,1
