ALA-01,Argolinha Lisa Abaulada Dourada,Brincos,,,sim
ALA-01-P,Argolinha Lisa Abaulada Dourada (P),Brincos,"39,90",,sim
ALA-01-M,Argolinha Lisa Abaulada Dourada (M),Brincos,"45,90",,sim
ALA-01-G,Argolinha Lisa Abaulada Dourada (G),Brincos,"49,90",,sim
AQF-01,Argolinha Quadrada Fina Dourada,Brincos,"39,90",,sim
AGP-02,Argolinha Gota Pavê Dourada,Brincos,,,sim
AGP-02-P,Argolinha Gota Pavê Dourada (P),Brincos,"49,90",,sim
AGP-02-M,Argolinha Gota Pavê Dourada (M),Brincos,"55,90",,sim
AGP-02-G,Argolinha Gota Pavê Dourada (G),Brincos,"59,90",,sim
