Código,Nome,Preço
CHK-03,Chocker Pérolas,89,9
CHK-04,Chocker Zircônias Cravejadas,89,9
CHK-07,Chocker Pérolas Barrocas,89,9
CHK-08,Chocker Bolinhas Douradas,89,9
CHK-09,Chocker Elo Cartier,89,9
CHK-11,Chocker Corações Cravejados,89,9
COL-60,Chocker Elos Português PP Ouro,69,9
