codigo,nome,categoria,preco,estoque,ativo
ANE-38,Anel Cravejado Redondo Dourado,Anéis,,,sim
COL-70,Colar Gravata Pérolas Coração,Colares,,,sim
COL-71,Colar Medalha São Bento Ouro,Colares,,,sim
COL-72,Colar Moedinhas Duplas Ouro,Colares,,,sim
DUP-03,Brinco Duplo Argolinha Correntinha Bolinhas,Brincos,,,sim
