cod,nome,categoria,preco,estoque,ativo
PRL-01,Brinco Argola Pérola Barroca Dourado,Brincos,,1,1
GOT-03,Brinco Argola Gota Cravejada Pequena Dourado,Brincos,,1,1
GOT-04,Brinco Argolinha Cravejada Mini Dourado,Brincos,,1,1
GOT-05,Brinco Argola Gota Cravejada Grande Dourado,Brincos,,1,1
COR-03,Brinco Argola Coração Vazado Cravejado Dourado,Brincos,,1,1
CAD-01,Brinco Argola Cadeado Cravejado Dourado,Brincos,,1,1
