Código,Nome,Preço
CONJ-01,Conjunto Pérola Delicado,79,9
CONJ-02,Conjunto Pérola,99,9
CONJ-03,Conjunto Coração,119,9
CONJ-04,Conjunto Ponto de Pérola Ouro,119,9
CONJ-05,Conjunto Ponto de Luz Ródio Branco,99,9
CONJ-06,Conjunto Bolinha Ouro,,
CONJ-07,Conjunto Coração Cravejado Prata,,
CONJ-08,Conjunto Madre Pérola com Aro,199,9
CONJ-09,Conjunto Redondo Orgânico Ouro,99,9
