codigo,nome,categoria,preco,estoque,ativo
EST-02,Brinco Estrelinha Dourada,Brincos,,,sim
EST-03,Brinco Estrelinha Zircônia Prata,Brincos,,,sim
PER-01,Brinco Ponto de Pérola,Brincos,,,sim
OVL-01,Brinco Zircônia Oval Prata,Brincos,,,sim
BLD-01,Brinco Bolinha Lisa Dourada,Brincos,,,sim
SOL-10,Brinco Solitário Zircônia Verde Dourado,Brincos,,,sim
CRO-01,Brinco Coroa Cravejada Prata,Brincos,,,sim
