FLD-01,Brinco Folha e Disco,Brincos,"79,90",,sim
ACP-01,Argola Cravejada Prata,Brincos,,,sim
ACP-01-P,Argola Cravejada Prata (P),Brincos,"39,90",,sim
ACP-01-M,Argola Cravejada Prata (M),Brincos,"45,90",,sim
ACP-01-G,Argola Cravejada Prata (G),Brincos,"49,90",,sim
ACD-01,Argola Canelada Fina Dourada,Brincos,,,sim
ACD-01-M,Argola Canelada Fina Dourada (M),Brincos,"49,90",,sim
ACD-01-G,Argola Canelada Fina Dourada (G),Brincos,"59,90",,sim
SOL-02,Brinco Solitário Pequeno Prata,Brincos,,,sim
SOL-03,Brinco Solitário Grande Prata,Brincos,,,sim
SOL-04,Brinco Solitário Dourado,Brincos,,,sim
NSA-01,Brinco Nossa Senhora Aparecida Dourado,Brincos,,,sim
NSA-02,Brinco Nossa Senhora Aparecida Azul,Brincos,,,sim
BLD-01,Brinco Bolinha Dourado,Brincos,,,sim
ACP-02,Argola Canelada Prata,Brincos,,,sim
ABP-01,Argola Bolinhas Prata,Brincos,,,sim
ALD-01,Argola Lisa Fina Dourada,Brincos,,,sim
AGD-01,Argola Gota Zircônia Dourada,Brincos,,,sim
AGP-01,Argola Gota Zircônia Prata,Brincos,,,sim
ACX-01,Brinco Argola com Cruz,Brincos,,,sim
